Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,m1,m2,m3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,14:58:07,1,0,0.2789,0.2784,0.2377,0.4735,0.4623,0.4328,0.2789,0.2784,0.2377,0.410982049,0.39779364,0.450785582,0,0,0,0.411,0.398,0.451,0,0,0,0.589,0.602,0.549,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0.032,-0.097
18.01.19,14:58:18,2,1,0.2828,0.2819,0.2461,0.4706,0.4583,0.4461,0.2779,0.277,0.2417,0.399065023,0.38490072,0.448329971,0.399065023,0.38490072,0.448329971,0.399,0.385,0.448,0.001,0.002,0,0.6,0.613,0.559,0,0,0,0,0,0,0.973,0.973,0.98,0.956,0.956,0.963,0.2,0.2,0.2,1,1,1,0,0.035,-0.124
18.01.19,14:58:28,3,11,0.2853,0.2907,0.2608,0.4608,0.4485,0.4441,0.2745,0.2734,0.2411,0.380859375,0.351839465,0.412744877,4.189453125,3.870234114,4.54019365,0.381,0.352,0.413,0.018,0.02,0,0.601,0.628,0.594,0.008,0.008,0,0.063,0.075,0,0.941,0.902,0.902,0.905,0.848,0.834,2.1,1.9,2.3,1,1,1,0,0.076,-0.084
18.01.19,14:58:38,4,21,0.2892,0.2971,0.2662,0.4328,0.4343,0.4191,0.2643,0.268,0.2335,0.331792976,0.315910661,0.364829396,6.967652495,6.634123878,7.661417323,0.332,0.316,0.365,0.057,0.041,0.019,0.611,0.643,0.616,0.024,0.016,0.008,0.196,0.145,0.071,0.851,0.827,0.824,0.778,0.747,0.723,3.5,3.3,3.8,1,1,1,0,0.048,-0.1
18.01.19,14:58:48,5,36,0.2907,0.3005,0.2618,0.4157,0.4191,0.398,0.2578,0.2622,0.2269,0.300697618,0.282987354,0.342211055,10.82511427,10.18754474,12.31959799,0.301,0.283,0.342,0.086,0.07,0.055,0.613,0.647,0.602,0.035,0.027,0.024,0.267,0.216,0.169,0.792,0.757,0.796,0.703,0.66,0.69,5.4,5.1,6.2,1,1,1,0,0.059,-0.139
18.01.19,14:58:58,6,81,0.299,0.3225,0.2809,0.3931,0.4025,0.3657,0.2489,0.2556,0.216,0.239379293,0.198757764,0.231884058,19.38972272,16.09937888,18.7826087,0.239,0.199,0.232,0.129,0.1,0.121,0.632,0.701,0.647,0.051,0.035,0.047,0.357,0.29,0.31,0.651,0.545,0.565,0.542,0.432,0.434,9.7,8,9.4,1,1,1,0,0.171,0.031
18.01.19,14:59:08,7,146,0.3088,0.3333,0.2853,0.3706,0.3843,0.3417,0.2397,0.2481,0.2074,0.166756611,0.132708821,0.165057068,24.34646519,19.3754879,24.09833187,0.167,0.133,0.165,0.183,0.146,0.176,0.651,0.721,0.659,0.071,0.051,0.067,0.439,0.365,0.404,0.471,0.373,0.42,0.365,0.277,0.305,12.2,9.7,12,1,1,1,0,0.204,0.01
18.01.19,14:59:18,8,281,0.3132,0.3402,0.2853,0.352,0.3691,0.3088,0.2318,0.2417,0.1948,0.110227273,0.078298564,0.076101036,30.97386364,22.00189651,21.38439119,0.11,0.078,0.076,0.228,0.185,0.268,0.662,0.737,0.656,0.086,0.063,0.102,0.502,0.424,0.522,0.322,0.227,0.208,0.238,0.162,0.142,15.5,11,10.7,1,1,1,0,0.288,0.308
18.01.19,14:59:28,9,611,0.3181,0.3417,0.2789,0.3304,0.3441,0.2838,0.2222,0.2307,0.1845,0.037227603,0.006974717,0.01726568,22.74606538,4.261551874,10.54933051,0.037,0,0.017,0.294,0.257,0.324,0.669,0.743,0.659,0.11,0.086,0.129,0.569,0.51,0.6,0.114,0,0,0.079,0,0,11.3,0,5.3,1,1,1,0,1,0.534
18.01.19,14:59:38,10,926,0.3044,0.3245,0.2593,0.3113,0.3294,0.2642,0.2134,0.224,0.176,0.022165114,0.014875531,0.018546556,20.5248956,13.77474196,17.17411052,0.022,0.015,0.019,0.319,0.275,0.373,0.659,0.71,0.609,0.129,0.102,0.161,0.624,0.557,0.655,0,0,0,0,0,0,10.2,6.9,8.6,1,1,1,0,0.325,0.158
18.01.19,14:59:48,11,1251,0.2828,0.3039,0.2397,0.2917,0.3088,0.2441,0.204,0.2143,0.1669,0.030510799,0.015867876,0.018025399,38.16900926,19.85071244,22.54977468,0.03,0.016,0.018,0.374,0.318,0.417,0.596,0.666,0.565,0.157,0.125,0.192,0.675,0.62,0.71,0.102,0,0,0.074,0,0,18.9,9.9,11.3,1,1,1,0,0.475,0.403
